id	filename	md5	size	state
3f73f93c-a372-4097-bdff-77ca9760c6d3	TCGA.HNSC.somaticsniper.3f73f93c-a372-4097-bdff-77ca9760c6d3.DR-10.0.somatic.maf.gz	2071846e26846071376de42cd693c504	16175695	released
ee42d944-ccbf-4406-9e7c-ffe1a0a4a1d7	TCGA.KIRC.varscan.ee42d944-ccbf-4406-9e7c-ffe1a0a4a1d7.DR-10.0.somatic.maf.gz	b039ef6ba0f80b876723d3627a5cd55d	5802783	released
6c494917-a5fe-4735-8b2e-e7b560f1cd0f	TCGA.PRAD.varscan.6c494917-a5fe-4735-8b2e-e7b560f1cd0f.DR-10.0.somatic.maf.gz	067e873bcebab156fb2b21fb70b37a03	6295737	released
6227cd91-5e86-45d4-a8c1-bffd4cb31964	TCGA.THCA.somaticsniper.6227cd91-5e86-45d4-a8c1-bffd4cb31964.DR-10.0.somatic.maf.gz	1d4602ceaaec71c458d75ae13aa72102	1139294	released
10721f4e-972c-4a87-bb5a-282b8886d3fb	TCGA.UCEC.somaticsniper.10721f4e-972c-4a87-bb5a-282b8886d3fb.DR-10.0.somatic.maf.gz	5258d649e20bfe6297c0b8dfdd792b26	155116109	released
fd3af8fd-e80d-4318-859f-757f32e6d8b4	TCGA.THYM.somaticsniper.fd3af8fd-e80d-4318-859f-757f32e6d8b4.DR-10.0.somatic.maf.gz	16a9676aae9fa5958b6709e1b7d27d9f	638738	released
aa5eb12e-6074-442a-9ff8-281b921e7d96	TCGA.KIRP.varscan.aa5eb12e-6074-442a-9ff8-281b921e7d96.DR-10.0.somatic.maf.gz	29b69b7ddf497f197dccaba839f184c1	5977730	released
422bff06-f1b2-4768-be4a-8bcb82644ce2	TCGA.ACC.somaticsniper.422bff06-f1b2-4768-be4a-8bcb82644ce2.DR-10.0.somatic.maf.gz	877c8da1e2c5a17110b97366ef5b4953	2243253	released
1aa33f25-3893-4f37-a6a4-361c9785d07e	TCGA.HNSC.mutect.1aa33f25-3893-4f37-a6a4-361c9785d07e.DR-10.0.somatic.maf.gz	03eec1f744c029418969a213d8ccc548	25886548	released
ad59bbc0-f7c9-4721-9eb1-b0839aa408aa	TCGA.THYM.varscan.ad59bbc0-f7c9-4721-9eb1-b0839aa408aa.DR-10.0.somatic.maf.gz	46ddb65b1be6e35113676a690c0a3f5e	970427	released
51423d79-e9c5-4c4d-b12c-99c1338dbd43	TCGA.OV.muse.51423d79-e9c5-4c4d-b12c-99c1338dbd43.DR-10.0.somatic.maf.gz	fe3f8b0a78a89c60c3e4e8fe29974030	9334333	released
8d8eb492-7d70-4267-a289-5683ff27bd63	72f9b8f8-634d-4a7e-867e-b60998dae0c1.wxs.aliquot_ensemble_masked.maf.gz	7050978a20ba2132dbfbe9ce8526b454	33279	released
05c36671-7ea8-4f44-b256-49ea8ab8031c	37e5d9d8-c49b-451c-a353-ba38851f4311.wxs.aliquot_ensemble_masked.maf.gz	93fce69f9d73ea22ea0e32879656489a	26694	released
dc03ed8a-3d16-49e1-9611-a1e10517e9b9	457722d4-d4b7-42c7-bbe0-44c48f4ed1a8.wxs.aliquot_ensemble_masked.maf.gz	7f7464e965c2ff7ba393332c42f012ff	20167	released
87aa6f83-c535-48f9-b4b3-defb5f9acf3d	126cf9b8-3381-4508-b766-f859209ee2ed.wxs.aliquot_ensemble_masked.maf.gz	ef010170821d92037e2936239caf3698	16038	released
547afb82-c8b9-442a-8353-7dd5da9c0d30	2fa7dd80-5031-4e80-9b69-3529abd6ca70.wxs.aliquot_ensemble_masked.maf.gz	16c81c6cb0178c1e271148d4f8c25fe6	28659	released
bd97e21e-e09d-46da-ac16-4190ed8ce482	3bb25158-2b7e-45f6-bf39-a0ba85de9f23.wxs.aliquot_ensemble_masked.maf.gz	4dffabd06174525eed7db74799c19500	47110	released
9c899413-9358-4ded-afc5-82604dc6d749	7a8c1531-f980-4410-ab79-dfad3e04bc07.wxs.aliquot_ensemble_masked.maf.gz	e0776b3cf71f45b373df05e3ca0a51f9	25203	released
af3fcefa-19a3-496f-8a0c-45c734683335	e21b5010-4b28-4112-936e-5c3f94869feb.wxs.aliquot_ensemble_masked.maf.gz	daa6100ea8f06920f0a68033ede03d13	43614	released
4f1cab91-b9c1-4e7c-acdf-45f4142654bf	f7131e05-b594-42f8-8fa3-3c12c262e3e6.wxs.aliquot_ensemble_masked.maf.gz	690de8313244f335ddc8883c28a50064	48558	released
7102ff03-4b91-4264-9776-eae5d4354d6e	0501f4ce-eb92-48aa-bc80-87391cd5bc52.wxs.aliquot_ensemble_masked.maf.gz	a6a66aa11830a3bd792f1e87c17845f4	43073	released
b9a5291f-a057-4cbf-ac76-e98a0559d9d2	985f1196-3431-4096-b0f9-d64f12fe00b9.wxs.aliquot_ensemble_masked.maf.gz	540d7630371d1928ac5fccbad47ad3bb	36134	released
d61d1e06-dd47-49b5-b532-6955d49dd841	ad156a3a-fb69-49ae-842c-ecd6d7613348.wxs.aliquot_ensemble_masked.maf.gz	783af3833f696d35775416526e99695f	49088	released
bc9d0dd4-dbf7-44bf-a6d5-4eb09844c95d	c8add6fd-261f-4c99-a533-de17d242a129.wxs.aliquot_ensemble_masked.maf.gz	821936cc08e00ae13d362976719858c0	28288	released
685de949-158d-442a-a728-3e4940801a00	215af563-f358-4324-8fef-781b70eff225.wxs.aliquot_ensemble_masked.maf.gz	a863df3b0e090a796c4e19f52b50a403	25416	released
e7c649cb-8403-4e5a-bbd8-987750848046	27ca20aa-2998-42ca-8527-75fcfc40d407.wxs.aliquot_ensemble_masked.maf.gz	3b1f808d0c455f8038cf512473a4fbda	3300	released
8c63dc7e-d91a-44b5-acd9-c7d91cb8ce3e	c93d8197-35cc-4165-8e0c-62fe443469fa.wxs.aliquot_ensemble_masked.maf.gz	3338d35dc318c1b9bce5619ed298ead9	25246	released
eed169b9-86a1-437b-a4dc-99079783f8bd	be30344e-e5b1-4a9e-8f0b-4908b32a3316.wxs.aliquot_ensemble_masked.maf.gz	fab84270e9cc7d42b54c898e05b3d071	22232	released
c9e0a9bf-6482-4e9d-a348-6653d02855fc	6273757f-467b-41ab-97d3-eaab397b7e1c.wxs.aliquot_ensemble_masked.maf.gz	3c2a31130d27f659fe37f513110ac662	35400	released
2133ebb6-90ce-47a3-8943-e6302c65abbc	d60c0209-fe71-45cb-98fb-fb9fce176d66.wxs.aliquot_ensemble_masked.maf.gz	5cf678eed853f35c7c9705430a951898	3217	released
a3c8fd85-6a26-447b-9a41-ef6a88b84b11	024005a6-3780-4167-8604-b916b6fc9817.wxs.aliquot_ensemble_masked.maf.gz	2ac4de16939ad35d971b3ba92de35dfe	31064	released
604e3be4-3337-441c-8a67-328e16872ba0	a9225325-e438-49b8-83a7-96a9494a36ae.wxs.aliquot_ensemble_masked.maf.gz	c92a21ad4ee8bd1d70dcb5aeea072a0b	28206	released
e20f890f-dead-4ae8-90e9-805edafc089e	83ab787c-5fad-4114-a251-626b97f2c537.wxs.aliquot_ensemble_masked.maf.gz	af094828809772ed6489663e84d2a5f6	27747	released
4cbee120-681d-4ca6-afca-12ed6fc79a4b	e081c0f3-30ce-4fcc-8d45-5bc761957265.wxs.aliquot_ensemble_masked.maf.gz	01b54d7cfd28c21c349ed1dae685e31c	26085	released
8626b84f-b3e4-4294-bbb9-a60368dd9a98	4096cde7-517f-48f1-8fba-21b601668838.wxs.aliquot_ensemble_masked.maf.gz	8feb56aa010a15384e2e956275eb32d1	18332	released
48bba05f-00d5-432f-8821-31bcfd6cb308	5caec0cc-34de-4169-acd8-04ceff504523.wxs.aliquot_ensemble_masked.maf.gz	a7a5948ebc8556f135cf835ead401905	22290	released
be855709-83ad-4627-b3b4-7e4b95635546	88a361db-f257-4b68-a4ff-43acd7623eaf.wxs.aliquot_ensemble_masked.maf.gz	5d73f46a51ba3812fd679b6fc3ed85d7	53029	released
28a5b745-d20c-43a5-90d7-ff919c11abdd	b9ffa27f-6c87-416a-8d6f-3406fd9dfc1d.wxs.aliquot_ensemble_masked.maf.gz	eae440b1091468f21789479c1bf32160	19029	released
55e685b6-f500-42b0-b645-ffbc18d0e882	cf45476a-3c66-4e9a-922c-bd3e08e1d3ed.wxs.aliquot_ensemble_masked.maf.gz	d978bd809a97e64ea74d58ae24b2dc74	6194	released
c54615ff-e464-4145-b16f-9099a56d1f58	84535d8e-5775-426b-8266-112ba265bdc1.wxs.aliquot_ensemble_masked.maf.gz	f82fbfabe770bd30cc021eaff6739b42	39010	released
cfc0d53e-a750-4703-bd37-43359ef82513	b4bee2af-1d1b-4877-8b77-b0c22e0536b4.wxs.aliquot_ensemble_masked.maf.gz	2fa1051f078c61ea3042d92ae4069a13	60441	released
fa4d5868-e039-4ffb-96e3-683ed4d0239f	386a852e-5059-4b6f-b33f-aa9e010e61d3.wxs.aliquot_ensemble_masked.maf.gz	8aa0dc4e605b86e857509852227f392b	36630	released
ba1b7290-2513-4268-a406-c86f0af6d75f	d9dddde0-be3f-4ff8-8727-55975de3dd2e.wxs.aliquot_ensemble_masked.maf.gz	e2642f96ef9691a20e6baa7da535eeb1	27377	released
7d66f963-f189-4143-a792-40bcf1e395b7	bf4e65fe-1b44-42d0-92b9-eaab570c53fd.wxs.aliquot_ensemble_masked.maf.gz	2cfcc514195de093b57c6b107b64f905	33103	released
24c307b6-1fde-4731-b07a-a72e2e337954	9ae9972f-5db2-47e2-b35f-d43575580056.wxs.aliquot_ensemble_masked.maf.gz	3db77faab64abb5bb892f5a3a508ad8b	29260	released
df5b62cb-30c9-4f0c-820e-e5e8b4070dc7	61e716a7-a1bf-4f4c-baae-f9647c6ae855.wxs.aliquot_ensemble_masked.maf.gz	d46a5b64ad42639b0988c2a151bf81b5	26786	released
82dc28f3-1452-4bfb-ba76-9deb85129a58	76416274-7ac1-4e5b-8c9f-a9ffa3de5a49.wxs.aliquot_ensemble_masked.maf.gz	196b68d4f06ad76a5251c77acab17a80	18641	released
5ecee7ac-6164-42c4-a745-bf014908b40f	9179a4c9-3945-4a3e-8966-4ca804301864.wxs.aliquot_ensemble_masked.maf.gz	2abf2090076f015a3c5cc583122b18c8	24907	released
